Year,iD,MAPS.ME,JOSM,StreetComplete,OsmAnd,Vespucci,GoMap!!,RapiD,OrganicMaps,OsmHydrant,MapComplete,OsmGo!,Potlatch3,GNOMEMaps,OsmoseEditor,Pic4Review,IsraelHiking,Level0,RevertUI,Potlatch2,Merkaartor,FireYak,OSMContributor,MapContrib,OSM?Wikidata,osmapi,ArcGIS,osmtools,rosemary,Potlatch0.x/1.x,Other,NotSpecified
2009,0,0,13753,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2262,0,0,0,0,0,0,61,0,59540,330,18623
2010,0,0,18795,0,192,237,0,0,0,0,0,0,0,0,0,0,0,0,0,3787,2784,0,0,0,0,0,45,108,266,68273,472,882
2011,0,0,20228,0,645,460,0,0,0,0,0,0,0,0,0,0,0,0,0,66586,2193,0,0,0,0,0,107,53,1137,26327,322,539
2012,0,0,23441,0,1129,957,0,0,0,0,0,0,0,0,0,0,0,0,0,101941,1687,0,0,0,0,0,101,42,1051,13033,390,443
2013,56176,0,23138,0,1653,1622,2205,0,0,1,0,0,0,0,0,0,0,0,0,72649,1090,0,0,0,0,0,61,32,1532,745,289,269
2014,125149,0,21862,0,1927,1801,2046,0,0,344,0,0,0,0,157,0,0,109,0,29358,597,0,0,0,0,42,67,30,1723,517,267,424
2015,133826,0,22794,0,2354,2075,1335,0,0,665,0,0,0,2,224,0,0,174,0,24045,456,0,0,3,0,48,67,28,2761,429,338,704
2016,148470,96584,22313,7,3538,2379,1508,0,0,751,0,2,0,247,249,0,0,205,23,14694,409,21,0,97,0,72,156,34,2487,382,370,1586
2017,194572,102375,23190,9572,4862,2920,1834,0,0,866,0,2,0,421,284,0,88,222,58,10021,332,131,198,243,66,69,87,36,2345,272,574,1404
2018,214073,71199,22762,9764,5982,3332,2687,0,0,934,0,46,0,472,275,250,131,233,76,6451,256,158,424,243,82,67,41,25,1990,233,667,1182
2019,203449,55719,22801,8967,7063,3632,3096,1105,0,1166,0,194,0,556,377,517,153,252,83,4912,241,221,443,314,160,47,40,23,72,199,964,1067
2020,241205,35483,22108,11695,6977,4314,3174,3709,0,1409,353,346,29,766,444,456,303,290,189,3425,264,251,289,401,113,69,39,17,33,154,1220,945
2021,168721,17756,17304,15968,5518,3258,2770,1602,1127,877,467,431,424,417,329,320,251,195,180,163,158,139,117,108,70,24,15,12,9,5,801,645
