Year,iD,MAPS.ME,JOSM,StreetComplete,Vespucci,Potlatch 2,RapiD,Go Map!!,GNOME Maps,MapContrib,Osmose Editor,OSM Contributor,Merkaartor,Potlatch 0.x/1.x,osmapi,ArcGIS,osmtools,Other,Not Specified
2009,0,0,13753,0,58,0,0,0,0,0,0,0,2262,59540,0,0,61,277,18623
2010,0,0,18795,0,237,3787,0,0,0,0,0,0,2784,68273,0,45,108,440,882
2011,0,0,20228,0,460,66586,0,0,0,0,0,0,2193,26327,0,107,53,307,539
2012,0,0,23441,0,957,101941,0,0,0,0,0,0,1687,13033,0,101,42,385,443
2013,56176,0,23138,0,1622,72649,0,2205,0,0,0,0,1090,745,0,61,32,286,269
2014,125149,0,21862,0,1801,29358,0,2046,0,0,157,0,597,517,42,67,30,264,424
2015,133826,0,22794,0,2075,24045,0,1335,2,3,224,0,456,429,48,67,28,335,704
2016,148470,96584,22313,7,2379,14694,0,1508,247,97,249,0,409,382,72,156,34,369,1586
2017,194572,102375,23190,9572,2920,10021,0,1834,421,243,284,198,332,272,69,87,36,489,1404
2018,214073,71199,22762,9764,3332,6451,0,2687,472,243,275,424,256,233,67,41,25,600,1182
2019,203449,55719,22801,8967,3632,4912,1105,3096,556,314,377,443,241,199,47,40,23,931,1067
2020,136746,21304,16032,7047,2849,2499,2188,2129,428,306,279,187,177,111,44,23,14,782,549
